S.no,Constituency,Party,Majority,latitude,longitude,MajorityVotes
27,Shahjahanpur,BJP,268418,27.91263315,79.74656295,268.418
28,Kheri,BJP,218807,28.18478255,80.71293034,218.807
29,Dhaurahra,BJP,160611,27.3565,81.0354,160.611
30,Sitapur,BJP,100833,27.5046392,80.82946583,100.833
31,Hardoi,BJP,132474,27.33857665,80.09752646,132.474
32,Misrikh,BJP,100672,27.5340824,80.43897968,100.672
33,Unnao,BJP,400956,26.57550365,80.61376178,400.956
34,Mohanlalganj,BJP,90229,26.67277155,81.06942174,90.229
35,Lucknow,BJP,347302,26.8381,80.9346001,347.302
36,Rae Bareli,INC,167178,26.25,81.25,167.178
37,Amethi,BJP,55120,26.34738315,81.62387832,55.12
38,Sultanpur,BJP,14526,26.24251085,82.29616932,14.526
39,Pratapgarh,BJP,117752,25.75,81.75,117.752
40,Farrukhabad,BJP,221702,27.43719385,79.48912947,221.702
41,Etawah,BJP,64437,26.71832435,79.09025375,64.437
42,Kannauj,BJP,12353,26.9996974,79.68861213,12.353
43,Kanpur Urban,BJP,155934,12.9361708,77.6069588,155.934
44,Akbarpur,BJP,275142,26.42431065,82.56793417,275.142
45,Jalaun,BJP,158377,26.105546,79.42765265,158.377
46,Jhansi,BJP,365683,25.53103115,78.65268902,365.683
47,Hamirpur,BJP,248652,25.75,80,248.652
48,Banda,BJP,58938,25.5008211,80.499762,58.938
49,Fatehpur,BJP,198205,25.8435395,80.91800397,198.205
50,Kaushambi,BJP,38722,25.53609455,81.44672839,38.722
51,Phulpur,BJP,171968,26.03519585,82.79883384,171.968
52,Allahabad,BJP,184275,25.4381302,81.8338005,184.275
53,Barabanki,BJP,110140,26.93823105,81.38609761,110.14
54,Faizabad,BJP,65477,26.63807555,82.05902434,65.477
55,Ambedkar Nagar,BSP,95880,26.40349795,82.60728149,95.88
56,Bahraich,BJP,128752,27.7336958,81.47732128,128.752
57,Kaiserganj,BJP,261601,27.30058335,81.5592537,261.601
58,Shrawasti,BSP,5320,27.5035,82.0365,5.32
59,Gonda,BJP,166360,27.1096669,81.91832912,166.36
60,Domariyaganj,BJP,105321,27.19809475,82.67672526,105.321
61,Basti,BJP,30354,27.25,83,30.354
62,Sant Kabir Nagar,BJP,35749,26.7882737,82.9600798,35.749
63,Maharajganj,BJP,340424,27.09254225,83.56696261,340.424
64,Gorakhpur,BJP,301664,26.67132865,83.36458284,301.664
65,Kushi Nagar,BJP,337560,13.0002443,77.5599809,337.56
66,Deoria,BJP,249931,26.42384715,83.76273169,249.931
67,Bansgaon,BJP,153468,26.4975381,83.39557522,153.468
68,Lalganj,BSP,161597,25.7921635,82.9617336,161.597
69,Azamgarh,SP,259874,26.02269675,83.02887343,259.874
70,Ghosi,BSP,122568,26.1439582,83.48772165,122.568
71,Salempur,BJP,112477,26.27078945,83.91146962,112.477
72,Ballia,BJP,15519,25.87793255,84.11995931,15.519
73,Jaunpur,BSP,80936,25.7955927,82.48834098,80.936
74,Machhlishahr,BJP,181,25.66981435,82.33110923,0.181
75,Ghazipur,BSP,119392,25.6035084,83.50745405,119.392
76,Chandauli,BJP,13959,25.1265777,83.24965577,13.959
77,Varanasi,BJP,479505,25.3356491,83.0076292,479.505
78,Bhadohi,BJP,43615,25.42292275,82.48843708,43.615
79,Mirzapur,Other,232008,24.9356347,82.6477013,232.008
80,Robertsganj,Other,54336,24.5977192,83.16261863,54.336
1,Tehri Garhwal,BJP,300586,30.5,78.666667,300.586
2,Garhwal,BJP,302669,30.25,79.333333,302.669
3,Almora,BJP,232986,29.703095,79.43317023,232.986
4,NainitalUdhamsingh Nagar,BJP,339096,28.961,79.5154,339.096
5,Haridwar,BJP,258729,29.9384473,78.1452985,258.729
1,Cooch Behar,BJP,54231,26.3223696,89.4592445,54.231
2,Alipurduars,BJP,243989,26.4838,89.535,243.989
3,Jalpaiguri,BJP,184004,26.62648365,88.73407701,184.004
4,Darjeeling,BJP,413443,26.8349002,88.30714958,413.443
5,Raiganj,BJP,60574,25.6806539,88.12464576,60.574
6,Balurghat,BJP,33293,25.2634866,88.78900294,33.293
7,Maldaha Uttar,BJP,84288,25.1786,88.2461,84.288
8,Maldaha Dakshin,INC,8222,24.8431,87.9727,8.222
9,Jangipur,AITC,245782,24.4561534,88.1073968,245.782
10,Baharampur,INC,80696,24.0891652,88.2591686,80.696
11,Murshidabad,AITC,226417,24.1745993,88.2721335,226.417
12,Krishnanagar,AITC,63218,23.4058481,88.4958935,63.218
13,Ranaghat,BJP,233428,23.1738124,88.563677,233.428
14,Bangaon,BJP,111594,23.0429719,88.8313366,111.594
15,Barrackpur,BJP,14857,22.8702145,88.41960805,14.857
16,Dum Dum,AITC,53002,22.6211141,88.3928973,53.002
17,Barasat,AITC,109983,22.7176238,88.4889529,109.983
18,Basirhat,AITC,350369,22.6611962,88.8660215,350.369
19,Joynagar,AITC,316775,22.1037861,88.5714271,316.775
20,Mathurapur,AITC,203974,24.9261781,84.1771173,203.974
21,Diamond Harbour,AITC,320594,22.1910091,88.1904741,320.594
22,Jadavpur,AITC,295239,22.4951079,88.3749813,295.239
23,Kolkata Dakshin,AITC,155192,22.51856525,88.35261398,155.192
24,Kolkata Uttar,AITC,127095,28.660239,77.323984,127.095
25,Howrah,AITC,103695,22.5882216,88.323139,103.695
26,Uluberia,AITC,215359,22.4722227,88.0938448,215.359
27,Serampore,AITC,98536,22.7492962,88.3390279,98.536
28,Hooghly,BJP,73362,22.9052114,88.3760639,73.362
29,Arambagh,AITC,1142,22.876448,87.790956,1.142
30,Tamluk,AITC,190165,22.3028351,87.86746237,190.165
31,Kanthi,AITC,111668,21.7884623,87.7339077,111.668
32,Ghatal,AITC,107973,22.68097515,87.69902304,107.973
33,Jhargram,BJP,11767,22.3770636,87.04867177,11.767
34,Medinipur,BJP,88952,22.4207025,87.3269963,88.952
35,Purulia,BJP,204732,23.3711646,86.41893564,204.732
36,Bankura,BJP,174333,23.13195425,87.2073972,174.333
37,Bishnupur,BJP,78047,24.56246365,93.80124837,78.047
38,Bardhaman Purba,AITC,89311,23.244051,87.8689422,89.311
39,Bardhaman-Durgapur,BJP,2439,23.4916613,87.3181652,2.439
40,Asansol,BJP,197637,23.6871297,86.9746587,197.637
41,Bolpur,AITC,106402,23.661154,87.6962424,106.402
42,Birbhum,AITC,88924,24,87.583333,88.924
