S.no,Constituency,Party,Majority,latitude,longitude,MajorityVotes
8,Ahmedabad West,BJP,321546,23.0216238,72.5797068,321.546
9,Surendranagar,BJP,277437,22.75,71.666667,277.437
10,Rajkot,BJP,368407,22.3051991,70.8028335,368.407
11,Porbandar,BJP,229823,21.6409,69.611,229.823
12,Jamnagar,BJP,236804,22.4732415,70.0552102,236.804
13,Junagadh,BJP,150185,21.5185589,70.45917212,150.185
14,Amreli,BJP,201431,20.866667,70.75,201.431
15,Bhavnagar,BJP,329519,21.7718836,72.1416449,329.519
16,Anand,BJP,197718,22.5584995,72.9625629,197.718
17,Kheda,BJP,367145,22.75,72.833333,367.145
18,Panchmahal,BJP,428541,28.6271026,77.31016494,428.541
19,Dahod,BJP,127596,22.8358542,74.2556782,127.596
20,Vadodara,BJP,589177,22.2973142,73.1942567,589.177
21,Chhota Udaipur,BJP,377943,22.3048651,74.0126114,377.943
22,Bharuch,BJP,334214,21.75,73,334.214
23,Bardoli,BJP,215447,21.1220023,73.1135988,215.447
24,Surat,BJP,548230,21.1864607,72.8081281,548.23
25,Navsari,BJP,689668,20.952407,72.9323831,689.668
26,Valsad,BJP,353797,20.4324018,73.14117156,353.797
1,Ambala,BJP,342345,30.3843674,76.770421,342.345
2,Kurukshetra,BJP,384591,29.9693747,76.8482787,384.591
3,Sirsa,BJP,309918,29.583333,75.083333,309.918
4,Hisar,BJP,314068,29.168807,75.7461103,314.068
5,Karnal,BJP,656142,29.6803266,76.9896254,656.142
6,Sonipat,BJP,164864,29.0033144,77.0167323,164.864
7,Rohtak,BJP,7503,28.9010899,76.5801935,7.503
8,BhiwaniMahendragarh,BJP,444463,28.2734,76.1401,444.463
9,Gurgaon,BJP,386256,28.42826235,77.00270015,386.256
10,Faridabad,BJP,638239,28.402837,77.3085626,638.239
1,Kangra,BJP,477623,32.166667,76.25,477.623
2,Mandi,BJP,405459,33.8688299,74.31880473,405.459
3,Hamirpur,BJP,399572,25.75,80,399.572
4,Shimla,BJP,327515,31.1041526,77.1709729,327.515
1,Baramulla,Other,30758,34.20500565,74.36221081,30.758
2,Srinagar,Other,70050,34.0747444,74.8204443,70.05
3,Anantnag,Other,6676,33.74610995,75.18544753,6.676
4,Ladakh,BJP,10930,33.9456407,77.6568576,10.93
5,Udhampur,BJP,357252,33,75.166667,357.252
6,Jammu,BJP,302875,32.7185614,74.8580917,302.875
1,Rajmahal,Other,99195,24.9911245,87.82892528,99.195
2,Dumka,BJP,47590,24.2538512,87.30064714,47.59
3,Godda,BJP,184227,24.74334305,87.29285062,184.227
4,Chatra,BJP,377871,24.20162495,84.87817692,377.871
5,Kodarma,BJP,455600,24.54215575,85.69323966,455.6
6,Giridih,Other,248347,24.25,85.916667,248.347
7,Dhanbad,BJP,486194,23.7952809,86.4309638,486.194
8,Ranchi,BJP,283026,23.3700354,85.3250132,283.026
9,Jamshedpur,BJP,302090,22.8015194,86.2029579,302.09
10,Singhbhum,INC,72155,22.5,85.5,72.155
11,Khunti,BJP,1445,23.10018105,85.34545936,1.445
12,Lohardaga,BJP,10363,23.46920055,84.73568423,10.363
13,Palamau,BJP,477606,23.68172835,84.13918442,477.606
14,Hazaribagh,BJP,479548,23.9675151,85.43884569,479.548
1,Chikkodi,BJP,118877,16.4265276,74.5861323,118.877
2,Belgaum,BJP,391304,15.8572666,74.5069343,391.304
3,Bagalkot,BJP,168187,16.1853166,75.6967919,168.187
4,Bijapur,BJP,258038,18.76904135,80.74151193,258.038
5,Gulbarga,BJP,95452,17.166667,77.083333,95.452
6,Raichur,BJP,117716,16.083333,77.166667,117.716
7,Bidar,BJP,116834,18.083333,77.333333,116.834
8,Koppal,BJP,38397,15.3484144,76.1547421,38.397
9,Bellary,BJP,55707,15.1467299,76.9125211,55.707
10,Haveri,BJP,140882,14.7874825,75.3996731,140.882
11,Dharwad,BJP,205072,15.4540505,75.0066516,205.072
12,Uttara Kannada,BJP,479649,14.72447415,74.64223734,479.649
13,Davanagere,BJP,169702,14.4661266,75.9206361,169.702
14,Shimoga,BJP,223360,13.9311723,75.569737,223.36
15,Udupi Chikmagalur,BJP,349599,13.3409,74.7421,349.599
16,Hassan,JDU,141324,13.0070817,76.0992703,141.324
17,Dakshina Kannada,BJP,274621,12.82133045,75.22767163,274.621
18,Chitradurga,BJP,80178,14.2266443,76.4005122,80.178
19,Tumkur,BJP,13339,13.3400771,77.1006208,13.339
20,Mandya,I,125876,12.5238888,76.8961961,125.876
21,Mysore,BJP,138647,12.3051828,76.6553609,138.647
22,Chamarajanagar,BJP,1817,11.9346006,76.9328209,1.817
23,Bangalore Rural,INC,206870,13.0010872,77.3361225,206.87
24,Bangalore North,BJP,147518,13.07284355,77.53217172,147.518
25,Bangalore Central,BJP,70968,12.97339325,77.61123427,70.968
26,Bangalore South,BJP,331192,12.8624679,77.56089326,331.192
27,Chikballapur,BJP,182110,13.4274405,77.7321433,182.11
28,Kolar,BJP,210021,13.1369996,78.1339606,210.021
1,Kasaragod,INC,40438,12.42171305,75.19044977,40.438
2,Kannur,INC,94559,11.8762254,75.3738043,94.559
3,Vatakara,INC,84663,11.59681865,75.58805091,84.663
4,Wayanad,INC,431770,11.715219,76.12690295,431.77
5,Kozhikode,INC,85225,11.2446144,75.7759372,85.225
6,Malappuram,Other,260153,11.10684475,76.1099551,260.153
7,Ponnani,Other,193273,10.77482195,75.97976803,193.273
8,Palakkad,INC,11637,10.7691989,76.6512469,11.637
9,Alathur,INC,158968,11.13473975,78.90812918,158.968
10,Thrissur,INC,93633,10.5256264,76.2132542,93.633
11,Chalakudy,INC,132274,10.302391,76.3215544,132.274
12,Ernakulam,INC,169153,10.0383947,76.50741452,169.153
13,Idukki,INC,171053,9.8497872,76.9797914,171.053
14,Kottayam,Other,106259,9.62857045,76.64552503,106.259
15,Alappuzha,Other,10474,9.48870055,76.41256411,10.474
16,Mavelikkara,INC,61138,9.20934285,76.58039263,61.138
17,Pathanamthitta,INC,44243,9.2834044,76.96066276,44.243
18,Kollam,Other,148856,8.96699645,76.8582888,148.856
19,Attingal,INC,38247,8.6960538,76.814869,38.247
20,Thiruvananthapuram,INC,99989,8.5058909,76.9570481,99.989
1,Lakshadweep,Other,823,10.8832771,72.8171069,0.823
1,Morena,BJP,113341,26.166667,77.5,113.341
2,Bhind,BJP,199885,26.5,78.75,199.885
3,Gwalior,BJP,146842,26.2037247,78.1573628,146.842
4,Guna,BJP,125549,24.5,77.5,125.549
5,Sagar,BJP,305542,23.80961225,78.75911361,305.542
6,Tikamgarh,BJP,348059,24.85450275,79.04698124,348.059
7,Damoh,BJP,353411,23.75,79.583333,353.411
8,Khajuraho,BJP,492382,24.8515132,79.9259786,492.382
9,Satna,BJP,231473,24.5,81,231.473
10,Rewa,BJP,312807,24.75926685,81.65500021,312.807
11,Sidhi,BJP,286524,24.25,82,286.524
12,Shahdol,BJP,403333,23.6522784,81.43026444,403.333
13,Jabalpur,BJP,454744,23.1608938,79.9497702,454.744
14,Mandla,BJP,97674,22.68536625,80.58150562,97.674
15,Balaghat,BJP,242066,21.966667,80.333333,242.066
16,Chhindwara,INC,37536,22.13983105,78.80964495,37.536
17,Hoshangabad,BJP,553682,22.6001502,77.92664521,553.682
18,Vidisha,BJP,503084,23.916667,78,503.084
19,Bhopal,BJP,364822,23.2530923,77.3962718,364.822
20,Rajgarh,BJP,431019,23.87167135,76.7748902,431.019
21,Dewas,BJP,372249,23,76.166667,372.249
22,Ujjain,BJP,365637,23.174597,75.7851423,365.637
23,Mandsaur,BJP,376734,24.2651306,75.38718194,376.734
24,Ratlam,BJP,90636,23.50195775,74.95284519,90.636
25,Dhar,BJP,156029,22.5,75.25,156.029
26,Indore,BJP,547754,22.7203616,75.8681996,547.754
27,Khargone,BJP,202510,21.8187743,75.6064577,202.51
28,Khandwa,BJP,273343,21.9778642,76.56882823,273.343
29,Betul,BJP,360241,21.8796162,77.87568125,360.241
1,Nandurbar,BJP,95629,21.36599895,74.28400358,95.629
2,Dhule,BJP,229243,21.13050145,74.47891181,229.243
3,Jalgaon,BJP,411617,20.84351185,75.52592659,411.617
4,Raver,BJP,335882,21.22876205,75.99841514,335.882
5,Buldhana,SS,133287,20.583333,76.416667,133.287
6,Akola,BJP,275596,20.7618624,77.19217163,275.596
7,Amravati,I,36951,21.15454115,77.64429618,36.951
8,Wardha,BJP,187191,20.82562315,78.6131455,187.191
9,Ramtek,SS,126783,21.3957522,79.3257474,126.783
10,Nagpur,BJP,216009,21.1498134,79.0820556,216.009
11,Bhandara-Gondiya,BJP,197394,20.9847,79.9193,197.394
12,Gadchiroli-Chimur,BJP,77526,19.4969,80.2769,77.526
13,Chandrapur,INC,44763,26.21231825,91.89620685,44.763
14,Yavatmal-Washim,SS,117939,20.1119,77.1313,117.939
15,Hingoli,SS,277856,19.54140965,77.17376601,277.856
16,Nanded,BJP,40148,19.09400875,77.48319215,40.148
17,Parbhani,SS,42199,19.29031365,76.60290343,42.199
18,Jalna,BJP,332815,19.9182328,75.86862469,332.815
19,Aurangabad,AIMM,4492,19.877263,75.3390241,4.492
20,Dindori,BJP,198779,20.25527235,73.80730056,198.779
21,Nashik,SS,292204,20.0112475,73.7902364,292.204
22,Palghar,SS,88883,19.68086385,72.82537343,88.883
23,Bhiwandi,BJP,156329,19.3625308,73.07847468,156.329
24,Kalyan,SS,344343,19.2716301,73.23586553,344.343
25,Thane,SS,412145,19.1943294,72.9701779,412.145
26,Mumbai North,BJP,465247,18.9387711,72.8353355,465.247
27,Mumbai North West,SS,260328,18.9387711,72.8353355,260.328
28,Mumbai North East,BJP,226486,18.9387711,72.8353355,226.486
29,Mumbai North Central,BJP,130005,5.4168728,100.3400144,130.005
30,Mumbai South Central,SS,152139,5.4168728,100.3400144,152.139
31,Mumbai South,SS,100067,18.9387711,72.8353355,100.067
32,Raigad,Other,31438,18.4928092,73.13807095,31.438
33,Maval,SS,215913,24.4317886,72.7115342,215.913
34,Pune,BJP,324628,18.521428,73.8544541,324.628
35,Baramati,Other,155774,18.21985375,74.4534054,155.774
36,Shirur,Other,58483,18.76109885,74.20952895,58.483
37,Ahmednagar,BJP,281474,19.1627725,74.8580243,281.474
38,Shirdi,SS,120195,19.7668121,74.4754386,120.195
39,Beed,BJP,168368,18.9904059,75.7542291,168.368
40,Osmanabad,SS,127566,18.16984395,76.11796321,127.566
41,Latur,BJP,289111,18.35146855,76.75512122,289.111
42,Solapur,BJP,158608,17.84990665,75.27632027,158.608
43,Madha,BJP,85764,18.0713086,75.36232813,85.764
44,Sangli,BJP,164352,16.8502534,74.5948885,164.352
45,Satara,Other,126528,17.63612885,74.29827808,126.528
46,Ratnagiri-Sindhudurg,SS,178322,16.9902,73.312,178.322
47,Kolhapur,SS,270568,16.7028412,74.2405329,270.568
48,Hatkanangle,SS,96039,16.7445098,74.37531751,96.039
1,Inner Manipur,BJP,17755,24.7122,93.8655,17.755
2,Outer Manipur,Other,73782,20.9030639,86.2210976,73.782
1,Shillong,INC,152433,25.5760446,91.8825282,152.433
2,Tura,Other,64030,25.517377,90.2066783,64.03
1,Mizoram,Other,8140,23.2146169,92.8687612,8.14
1,Nagaland,Other,16344,26.1630556,94.5884911,16.344
1,Bargarh,BJP,63939,21.3474637,83.65427922,63.939
2,Sundargarh,BJP,223065,22.25,84.5,223.065
3,Sambalpur,BJP,9162,21.4,83.883333,9.162
4,Keonjhar,BJD,66203,21.5,85.5,66.203
5,Mayurbhanj,BJP,25256,21.75,86.5,25.256
6,Balasore,BJP,12956,21.5002888,86.9202627,12.956
7,Bhadrak,BJD,28803,21.0633288,86.5053731,28.803
8,Jajpur,BJD,101693,20.8522696,86.3385714,101.693
9,Dhenkanal,BJD,35412,20.75,85.5,35.412
10,Bolangir,BJP,19516,20.3575202,83.27189643,19.516
11,Kalahandi,BJP,26814,19.75,83,26.814
12,Nabarangpur,BJD,41634,19.228896,82.5665715,41.634
13,Kandhamal,BJD,149216,20.13069385,84.07904761,149.216
14,Cuttack,BJD,121201,20.4686,85.8792,121.201
15,Kendrapara,BJD,152584,20.50040085,86.43170623,152.584
16,Jagatsinghpur,BJD,271655,20.2593872,86.1660878,271.655
17,Puri,BJD,11714,19.8076083,85.8252538,11.714
18,Bhubaneswar,BJP,23839,20.2667774,85.8435592,23.839
19,Aska,BJD,204707,19.60609,84.6724892,204.707
20,Berhampur,BJD,94844,21.49308515,86.63272983,94.844
21,Koraput,INC,3613,18.7232023,82.60811828,3.613
1,Puducherry,INC,197025,11.9340568,79.8306447,197.025
1,Gurdaspur,BJP,82459,31.9042299,75.22738141,82.459
2,Amritsar,INC,99626,31.6343083,74.8736788,99.626
3,Khadoor Sahib,INC,140573,31.4241739,75.0982026,140.573
4,Jalandhar,INC,19491,31.29201065,75.56805772,19.491
5,Hoshiarpur,BJP,48530,31.60857425,75.84644247,48.53
6,Anandpur Sahib,INC,46884,31.2346773,76.4973104,46.884
7,Ludhiana,INC,76372,30.9090157,75.851601,76.372
8,Fatehgarh Sahib,INC,93898,30.6600764,76.38002164,93.898
9,Faridkot,INC,83256,30.60092505,74.79477423,83.256
10,Ferozpur,Other,198850,30.598744,74.2032581,198.85
11,Bathinda,Other,21772,30.17911535,75.04710156,21.772
12,Sangrur,AAP,110211,30.2093363,75.81842243,110.211
13,Patiala,INC,162718,30.2090874,76.33987209,162.718
1,Ganganagar,BJP,406978,23.7497214,91.87663495,406.978
2,Bikaner,BJP,264081,28.0159286,73.3171367,264.081
3,Churu,BJP,334402,28.2061443,74.6919073,334.402
4,Jhunjhunu,BJP,302547,28.1287995,75.3992581,302.547
5,Sikar,BJP,297156,27.662826,75.02792629,297.156
6,Jaipur Rural,BJP,393171,26.916194,75.820349,393.171
7,Jaipur,BJP,430626,26.916194,75.820349,430.626
8,Alwar,BJP,329971,27.63907705,76.61445249,329.971
9,Bharatpur,BJP,318399,27.26521245,77.36912555,318.399
10,KarauliDholpur,BJP,97682,26.6966,77.8908,97.682
11,Dausa,BJP,78444,26.80486585,76.4437457,78.444
12,TonkSawai Madhopur,BJP,111291,25.983334,76.366669,111.291
13,Ajmer,BJP,416424,26.4691,74.639,416.424
14,Nagaur,Other,181260,27.0607859,74.17667538,181.26
15,Pali,BJP,481597,25.6040908,73.41560879,481.597
16,Jodhpur,BJP,274440,26.2967719,73.0351433,274.44
17,Barmer,BJP,323808,25.5819034,71.61966243,323.808
18,Jalore,BJP,261110,25.3476006,72.6260916,261.11
19,Udaipur,BJP,437914,24.578721,73.6862571,437.914
20,Banswara,BJP,305464,23.4930788,74.34840231,305.464
21,Chittorgarh,BJP,576247,24.718026,74.47214697,576.247
22,Rajsamand,BJP,551916,25.29131615,73.82449247,551.916
23,Bhilwara,BJP,612000,25.48877345,74.69961284,612
24,Kota,BJP,279677,25.1968256,76.00089331,279.677
25,JhalawarBaran,BJP,453928,25.1011,76.5132,453.928
1,Sikkim,Other,12433,27.601029,88.45413639,12.433
1,Thiruvallur,INC,356955,13.13014755,79.92435386,356.955
2,Chennai North,DMK,461518,13.0801721,80.2838331,461.518
3,Chennai South,DMK,262223,13.0801721,80.2838331,262.223
4,Chennai Central,DMK,301520,13.0801721,80.2838331,301.52
5,Sriperumbudur,DMK,507955,12.9201301,79.93910564,507.955
6,Kancheepuram,DMK,286632,12.87960515,79.70427615,286.632
7,Arakkonam,DMK,328956,13.0841402,79.6703816,328.956
8,Vellore,BJP,43211,12.7948109,79.0006411,43.211
9,Krishnagiri,INC,156765,12.5188835,78.2206536,156.765
