S.no,Constituency,Party,Majority,latitude,longitude
21,Mainpuri,SP,"94,389",27.2098219,79.04813701
22,Etah,BJP,"1,22,670",27.5541146,78.6007864
23,Badaun,BJP,"18,454",27.94225275,79.20666095
24,Aonla,BJP,"1,13,743",28.33552945,79.19123582
25,Bareilly,BJP,"1,67,282",28.457876,79.40557094
26,Pilibhit,BJP,"2,55,627",28.49520765,80.1075408
27,Shahjahanpur,BJP,"2,68,418",27.91263315,79.74656295
28,Kheri,BJP,"2,18,807",28.18478255,80.71293034
29,Dhaurahra,BJP,"1,60,611",27.3565,81.0354
30,Sitapur,BJP,"1,00,833",27.5046392,80.82946583
31,Hardoi,BJP,"1,32,474",27.33857665,80.09752646
32,Misrikh,BJP,"1,00,672",27.5340824,80.43897968
33,Unnao,BJP,"4,00,956",26.57550365,80.61376178
34,Mohanlalganj,BJP,"90,229",26.67277155,81.06942174
35,Lucknow,BJP,"3,47,302",26.8381,80.9346001
36,Rae Bareli,INC,"1,67,178",26.25,81.25
37,Amethi,BJP,"55,120",26.34738315,81.62387832
38,Sultanpur,BJP,"14,526",26.24251085,82.29616932
39,Pratapgarh,BJP,"1,17,752",25.75,81.75
40,Farrukhabad,BJP,"2,21,702",27.43719385,79.48912947
41,Etawah,BJP,"64,437",26.71832435,79.09025375
42,Kannauj,BJP,"12,353",26.9996974,79.68861213
43,Kanpur Urban,BJP,"1,55,934",12.9361708,77.6069588
44,Akbarpur,BJP,"2,75,142",26.42431065,82.56793417
45,Jalaun,BJP,"1,58,377",26.105546,79.42765265
46,Jhansi,BJP,"3,65,683",25.53103115,78.65268902
47,Hamirpur,BJP,"2,48,652",25.75,80
48,Banda,BJP,"58,938",25.5008211,80.499762
49,Fatehpur,BJP,"1,98,205",25.8435395,80.91800397
50,Kaushambi,BJP,"38,722",25.53609455,81.44672839
51,Phulpur,BJP,"1,71,968",26.03519585,82.79883384
52,Allahabad,BJP,"1,84,275",25.4381302,81.8338005
53,Barabanki,BJP,"1,10,140",26.93823105,81.38609761
54,Faizabad,BJP,"65,477",26.63807555,82.05902434
55,Ambedkar Nagar,BSP,"95,880",26.40349795,82.60728149
56,Bahraich,BJP,"1,28,752",27.7336958,81.47732128
57,Kaiserganj,BJP,"2,61,601",27.30058335,81.5592537
58,Shrawasti,BSP,"5,320",27.5035,82.0365
59,Gonda,BJP,"1,66,360",27.1096669,81.91832912
60,Domariyaganj,BJP,"1,05,321",27.19809475,82.67672526
61,Basti,BJP,"30,354",27.25,83
62,Sant Kabir Nagar,BJP,"35,749",26.7882737,82.9600798
63,Maharajganj,BJP,"3,40,424",27.09254225,83.56696261
64,Gorakhpur,BJP,"3,01,664",26.67132865,83.36458284
65,Kushi Nagar,BJP,"3,37,560",13.0002443,77.5599809
66,Deoria,BJP,"2,49,931",26.42384715,83.76273169
67,Bansgaon,BJP,"1,53,468",26.4975381,83.39557522
68,Lalganj,BSP,"1,61,597",25.7921635,82.9617336
69,Azamgarh,SP,"2,59,874",26.02269675,83.02887343
70,Ghosi,BSP,"1,22,568",26.1439582,83.48772165
71,Salempur,BJP,"1,12,477",26.27078945,83.91146962
72,Ballia,BJP,"15,519",25.87793255,84.11995931
73,Jaunpur,BSP,"80,936",25.7955927,82.48834098
74,Machhlishahr,BJP,181,25.66981435,82.33110923
75,Ghazipur,BSP,"1,19,392",25.6035084,83.50745405
76,Chandauli,BJP,"13,959",25.1265777,83.24965577
77,Varanasi,BJP,"4,79,505",25.3356491,83.0076292
78,Bhadohi,BJP,"43,615",25.42292275,82.48843708
79,Mirzapur,Other,"2,32,008",24.9356347,82.6477013
80,Robertsganj,Other,"54,336",24.5977192,83.16261863
1,Tehri Garhwal,BJP,"3,00,586",30.5,78.666667
2,Garhwal,BJP,"3,02,669",30.25,79.333333
3,Almora,BJP,"2,32,986",29.703095,79.43317023
4,NainitalUdhamsingh Nagar,BJP,"3,39,096",28.961,79.5154
5,Haridwar,BJP,"2,58,729",29.9384473,78.1452985
1,Cooch Behar,BJP,"54,231",26.3223696,89.4592445
2,Alipurduars,BJP,"2,43,989",26.4838,89.535
3,Jalpaiguri,BJP,"1,84,004",26.62648365,88.73407701
4,Darjeeling,BJP,"4,13,443",26.8349002,88.30714958
5,Raiganj,BJP,"60,574",25.6806539,88.12464576
6,Balurghat,BJP,"33,293",25.2634866,88.78900294
7,Maldaha Uttar,BJP,"84,288",25.1786,88.2461
8,Maldaha Dakshin,INC,"8,222",24.8431,87.9727
9,Jangipur,AITC,"2,45,782",24.4561534,88.1073968
10,Baharampur,INC,"80,696",24.0891652,88.2591686
11,Murshidabad,AITC,"2,26,417",24.1745993,88.2721335
12,Krishnanagar,AITC,"63,218",23.4058481,88.4958935
13,Ranaghat,BJP,"2,33,428",23.1738124,88.563677
14,Bangaon,BJP,"1,11,594",23.0429719,88.8313366
15,Barrackpur,BJP,"14,857",22.8702145,88.41960805
16,Dum Dum,AITC,"53,002",22.6211141,88.3928973
17,Barasat,AITC,"1,09,983",22.7176238,88.4889529
18,Basirhat,AITC,"3,50,369",22.6611962,88.8660215
19,Joynagar,AITC,"3,16,775",22.1037861,88.5714271
20,Mathurapur,AITC,"2,03,974",24.9261781,84.1771173
21,Diamond Harbour,AITC,"3,20,594",22.1910091,88.1904741
22,Jadavpur,AITC,"2,95,239",22.4951079,88.3749813
23,Kolkata Dakshin,AITC,"1,55,192",22.51856525,88.35261398
24,Kolkata Uttar,AITC,"1,27,095",28.660239,77.323984
25,Howrah,AITC,"1,03,695",22.5882216,88.323139
26,Uluberia,AITC,"2,15,359",22.4722227,88.0938448
27,Serampore,AITC,"98,536",22.7492962,88.3390279
28,Hooghly,BJP,"73,362",22.9052114,88.3760639
29,Arambagh,AITC,"1,142",22.876448,87.790956
30,Tamluk,AITC,"1,90,165",22.3028351,87.86746237
31,Kanthi,AITC,"1,11,668",21.7884623,87.7339077
32,Ghatal,AITC,"1,07,973",22.68097515,87.69902304
33,Jhargram,BJP,"11,767",22.3770636,87.04867177
34,Medinipur,BJP,"88,952",22.4207025,87.3269963
35,Purulia,BJP,"2,04,732",23.3711646,86.41893564
36,Bankura,BJP,"1,74,333",23.13195425,87.2073972
37,Bishnupur,BJP,"78,047",24.56246365,93.80124837
38,Bardhaman Purba,AITC,"89,311",23.244051,87.8689422
39,Bardhaman-Durgapur,BJP,"2,439",23.4916613,87.3181652
40,Asansol,BJP,"1,97,637",23.6871297,86.9746587
41,Bolpur,AITC,"1,06,402",23.661154,87.6962424
42,Birbhum,AITC,"88,924",24,87.583333
