S.no,Constituency,Party,Majority,latitude,longitude
1,Kachchh,BJP,"3,05,513",23.583333,70
2,Banaskantha,BJP,"3,68,296",24.172056,72.431134
3,Patan,BJP,"1,93,879",23.77405735,71.68373466
4,Mahesana,BJP,"2,81,519",23.666667,72.5
5,Sabarkantha,BJP,"2,68,987",24.0294885,73.0459884
6,Gandhinagar,BJP,"5,57,014",23.2232877,72.6492267
7,Ahmedabad East,BJP,"4,34,330",23.0216238,72.5797068
8,Ahmedabad West,BJP,"3,21,546",23.0216238,72.5797068
9,Surendranagar,BJP,"2,77,437",22.75,71.666667
10,Rajkot,BJP,"3,68,407",22.3051991,70.8028335
11,Porbandar,BJP,"2,29,823",21.6409,69.611
12,Jamnagar,BJP,"2,36,804",22.4732415,70.0552102
13,Junagadh,BJP,"1,50,185",21.5185589,70.45917212
14,Amreli,BJP,"2,01,431",20.866667,70.75
15,Bhavnagar,BJP,"3,29,519",21.7718836,72.1416449
16,Anand,BJP,"1,97,718",22.5584995,72.9625629
17,Kheda,BJP,"3,67,145",22.75,72.833333
18,Panchmahal,BJP,"4,28,541",28.6271026,77.31016494
19,Dahod,BJP,"1,27,596",22.8358542,74.2556782
20,Vadodara,BJP,"5,89,177",22.2973142,73.1942567
21,Chhota Udaipur,BJP,"3,77,943",22.3048651,74.0126114
22,Bharuch,BJP,"3,34,214",21.75,73
23,Bardoli,BJP,"2,15,447",21.1220023,73.1135988
24,Surat,BJP,"5,48,230",21.1864607,72.8081281
25,Navsari,BJP,"6,89,668",20.952407,72.9323831
26,Valsad,BJP,"3,53,797",20.4324018,73.14117156
1,Ambala,BJP,"3,42,345",30.3843674,76.770421
2,Kurukshetra,BJP,"3,84,591",29.9693747,76.8482787
3,Sirsa,BJP,"3,09,918",29.583333,75.083333
4,Hisar,BJP,"3,14,068",29.168807,75.7461103
5,Karnal,BJP,"6,56,142",29.6803266,76.9896254
6,Sonipat,BJP,"1,64,864",29.0033144,77.0167323
7,Rohtak,BJP,"7,503",28.9010899,76.5801935
8,BhiwaniMahendragarh,BJP,"4,44,463",28.2734,76.1401
9,Gurgaon,BJP,"3,86,256",28.42826235,77.00270015
10,Faridabad,BJP,"6,38,239",28.402837,77.3085626
1,Kangra,BJP,"4,77,623",32.166667,76.25
2,Mandi,BJP,"4,05,459",33.8688299,74.31880473
3,Hamirpur,BJP,"3,99,572",25.75,80
4,Shimla,BJP,"3,27,515",31.1041526,77.1709729
1,Baramulla,Other,"30,758",34.20500565,74.36221081
2,Srinagar,Other,"70,050",34.0747444,74.8204443
3,Anantnag,Other,"6,676",33.74610995,75.18544753
4,Ladakh,BJP,"10,930",33.9456407,77.6568576
5,Udhampur,BJP,"3,57,252",33,75.166667
6,Jammu,BJP,"3,02,875",32.7185614,74.8580917
1,Rajmahal,Other,"99,195",24.9911245,87.82892528
2,Dumka,BJP,"47,590",24.2538512,87.30064714
3,Godda,BJP,"1,84,227",24.74334305,87.29285062
4,Chatra,BJP,"3,77,871",24.20162495,84.87817692
5,Kodarma,BJP,"4,55,600",24.54215575,85.69323966
6,Giridih,Other,"2,48,347",24.25,85.916667
7,Dhanbad,BJP,"4,86,194",23.7952809,86.4309638
8,Ranchi,BJP,"2,83,026",23.3700354,85.3250132
9,Jamshedpur,BJP,"3,02,090",22.8015194,86.2029579
10,Singhbhum,INC,"72,155",22.5,85.5
11,Khunti,BJP,"1,445",23.10018105,85.34545936
12,Lohardaga,BJP,"10,363",23.46920055,84.73568423
13,Palamau,BJP,"4,77,606",23.68172835,84.13918442
14,Hazaribagh,BJP,"4,79,548",23.9675151,85.43884569
1,Chikkodi,BJP,"1,18,877",16.4265276,74.5861323
2,Belgaum,BJP,"3,91,304",15.8572666,74.5069343
3,Bagalkot,BJP,"1,68,187",16.1853166,75.6967919
4,Bijapur,BJP,"2,58,038",18.76904135,80.74151193
5,Gulbarga,BJP,"95,452",17.166667,77.083333
6,Raichur,BJP,"1,17,716",16.083333,77.166667
7,Bidar,BJP,"1,16,834",18.083333,77.333333
8,Koppal,BJP,"38,397",15.3484144,76.1547421
9,Bellary,BJP,"55,707",15.1467299,76.9125211
10,Haveri,BJP,"1,40,882",14.7874825,75.3996731
11,Dharwad,BJP,"2,05,072",15.4540505,75.0066516
12,Uttara Kannada,BJP,"4,79,649",14.72447415,74.64223734
13,Davanagere,BJP,"1,69,702",14.4661266,75.9206361
14,Shimoga,BJP,"2,23,360",13.9311723,75.569737
15,Udupi Chikmagalur,BJP,"3,49,599",13.3409,74.7421
16,Hassan,JDU,"1,41,324",13.0070817,76.0992703
17,Dakshina Kannada,BJP,"2,74,621",12.82133045,75.22767163
18,Chitradurga,BJP,"80,178",14.2266443,76.4005122
19,Tumkur,BJP,"13,339",13.3400771,77.1006208
20,Mandya,I,"1,25,876",12.5238888,76.8961961
21,Mysore,BJP,"1,38,647",12.3051828,76.6553609
22,Chamarajanagar,BJP,"1,817",11.9346006,76.9328209
23,Bangalore Rural,INC,"2,06,870",13.0010872,77.3361225
24,Bangalore North,BJP,"1,47,518",13.07284355,77.53217172
25,Bangalore Central,BJP,"70,968",12.97339325,77.61123427
26,Bangalore South,BJP,"3,31,192",12.8624679,77.56089326
27,Chikballapur,BJP,"1,82,110",13.4274405,77.7321433
28,Kolar,BJP,"2,10,021",13.1369996,78.1339606
1,Kasaragod,INC,"40,438",12.42171305,75.19044977
2,Kannur,INC,"94,559",11.8762254,75.3738043
3,Vatakara,INC,"84,663",11.59681865,75.58805091
4,Wayanad,INC,"4,31,770",11.715219,76.12690295
5,Kozhikode,INC,"85,225",11.2446144,75.7759372
6,Malappuram,Other,"2,60,153",11.10684475,76.1099551
7,Ponnani,Other,"1,93,273",10.77482195,75.97976803
8,Palakkad,INC,"11,637",10.7691989,76.6512469
9,Alathur,INC,"1,58,968",11.13473975,78.90812918
10,Thrissur,INC,"93,633",10.5256264,76.2132542
11,Chalakudy,INC,"1,32,274",10.302391,76.3215544
12,Ernakulam,INC,"1,69,153",10.0383947,76.50741452
13,Idukki,INC,"1,71,053",9.8497872,76.9797914
14,Kottayam,Other,"1,06,259",9.62857045,76.64552503
15,Alappuzha,Other,"10,474",9.48870055,76.41256411
16,Mavelikkara,INC,"61,138",9.20934285,76.58039263
17,Pathanamthitta,INC,"44,243",9.2834044,76.96066276
18,Kollam,Other,"1,48,856",8.96699645,76.8582888
19,Attingal,INC,"38,247",8.6960538,76.814869
20,Thiruvananthapuram,INC,"99,989",8.5058909,76.9570481
1,Lakshadweep,Other,823,10.8832771,72.8171069
1,Morena,BJP,"1,13,341",26.166667,77.5
2,Bhind,BJP,"1,99,885",26.5,78.75
3,Gwalior,BJP,"1,46,842",26.2037247,78.1573628
4,Guna,BJP,"1,25,549",24.5,77.5
5,Sagar,BJP,"3,05,542",23.80961225,78.75911361
6,Tikamgarh,BJP,"3,48,059",24.85450275,79.04698124
7,Damoh,BJP,"3,53,411",23.75,79.583333
8,Khajuraho,BJP,"4,92,382",24.8515132,79.9259786
9,Satna,BJP,"2,31,473",24.5,81
10,Rewa,BJP,"3,12,807",24.75926685,81.65500021
11,Sidhi,BJP,"2,86,524",24.25,82
12,Shahdol,BJP,"4,03,333",23.6522784,81.43026444
13,Jabalpur,BJP,"4,54,744",23.1608938,79.9497702
14,Mandla,BJP,"97,674",22.68536625,80.58150562
15,Balaghat,BJP,"2,42,066",21.966667,80.333333
16,Chhindwara,INC,"37,536",22.13983105,78.80964495
17,Hoshangabad,BJP,"5,53,682",22.6001502,77.92664521
18,Vidisha,BJP,"5,03,084",23.916667,78
19,Bhopal,BJP,"3,64,822",23.2530923,77.3962718
20,Rajgarh,BJP,"4,31,019",23.87167135,76.7748902
21,Dewas,BJP,"3,72,249",23,76.166667
22,Ujjain,BJP,"3,65,637",23.174597,75.7851423
23,Mandsaur,BJP,"3,76,734",24.2651306,75.38718194
24,Ratlam,BJP,"90,636",23.50195775,74.95284519
25,Dhar,BJP,"1,56,029",22.5,75.25
26,Indore,BJP,"5,47,754",22.7203616,75.8681996
27,Khargone,BJP,"2,02,510",21.8187743,75.6064577
28,Khandwa,BJP,"2,73,343",21.9778642,76.56882823
29,Betul,BJP,"3,60,241",21.8796162,77.87568125
1,Nandurbar,BJP,"95,629",21.36599895,74.28400358
2,Dhule,BJP,"2,29,243",21.13050145,74.47891181
3,Jalgaon,BJP,"4,11,617",20.84351185,75.52592659
4,Raver,BJP,"3,35,882",21.22876205,75.99841514
5,Buldhana,SS,"1,33,287",20.583333,76.416667
6,Akola,BJP,"2,75,596",20.7618624,77.19217163
7,Amravati,I,"36,951",21.15454115,77.64429618
8,Wardha,BJP,"1,87,191",20.82562315,78.6131455
9,Ramtek,SS,"1,26,783",21.3957522,79.3257474
10,Nagpur,BJP,"2,16,009",21.1498134,79.0820556
